zip_code_prefix,city,state,lat,lng
1001,"sao paulo",SP,-23.5502,-46.6340
1002,"sao paulo",SP,-23.5481,-46.6350
1003,"sao paulo",SP,-23.5490,-46.6357
1004,"sao paulo",SP,-23.5498,-46.6348
1005,"sao paulo",SP,-23.5495,-46.6367
1006,"sao paulo",SP,-23.5501,-46.6361
1007,"sao paulo",SP,-23.5500,-46.6373
1008,"sao paulo",SP,-23.5460,-46.6359
1009,"sao paulo",SP,-23.5468,-46.6365
1010,"sao paulo",SP,-23.5464,-46.6352
1011,"sao paulo",SP,-23.5469,-46.6356
1012,"são paulo",SP,-23.5478,-46.6349
1013,"sao paulo",SP,-23.5471,-46.6342
1014,"sao paulo",SP,-23.5459,-46.6336
1015,"sao paulo",SP,-23.5477,-46.6316
1016,"sao paulo",SP,-23.5490,-46.6324
1017,"são paulo",SP,-23.5495,-46.6310
1018,"sao paulo",SP,-23.5509,-46.6324
1019,"sao paulo",SP,-23.5518,-46.6309
1020,"são paulo",SP,-23.5523,-46.6300
1021,"sao paulo",SP,-23.5430,-46.6321
1022,"sao paulo",SP,-23.5449,-46.6319
1023,"sao paulo",SP,-23.5423,-46.6314
1024,"são paulo",SP,-23.5414,-46.6299
1025,"sao paulo",SP,-23.5403,-46.6309
1026,"são paulo",SP,-23.5397,-46.6319
1027,"sao paulo",SP,-23.5381,-46.6307
1028,"sao paulo",SP,-23.5359,-46.6336
1029,"sao paulo",SP,-23.5414,-46.6334
1030,"são paulo",SP,-23.5395,-46.6330
1031,"sao paulo",SP,-23.5419,-46.6351
1032,"sao paulo",SP,-23.5401,-46.6352
1033,"sao paulo",SP,-23.5393,-46.6359
1034,"sao paulo",SP,-23.5425,-46.6374
1035,"sao paulo",SP,-23.5416,-46.6415
1036,"sao paulo",SP,-23.5416,-46.6414
1037,"sao paulo",SP,-23.5454,-46.6389
1038,"sao paulo",SP,-23.5439,-46.6400
1039,"sao paulo",SP,-23.5414,-46.6392
1040,"sao paulo",SP,-23.5410,-46.6383
1041,"sao paulo",SP,-23.5439,-46.6400
1042,"sao paulo",SP,-23.5449,-46.6404
1043,"são paulo",SP,-23.5458,-46.6415
1044,"sao paulo",SP,-23.5456,-46.6415
1045,"sao paulo",SP,-23.5423,-46.6425
1046,"sao paulo",SP,-23.5459,-46.6440
1047,"sao paulo",SP,-23.5462,-46.6411
1048,"são paulo",SP,-23.5471,-46.6398
1049,"sao paulo",SP,-23.5470,-46.6392
